iter	Logloss
0	0.6834558635
1	0.6740097673
2	0.664850383
3	0.6562010186
4	0.6478738306
5	0.6392153387
6	0.6310978023
7	0.6228037098
8	0.6152113823
9	0.6076541709
10	0.6004013689
11	0.5928502888
12	0.585496528
13	0.5786046764
14	0.5718306798
15	0.5655233305
16	0.5592130199
17	0.5531737445
18	0.5473232182
19	0.5415644885
20	0.5360876632
21	0.5302731588
22	0.524722722
23	0.5195162699
24	0.5143615165
25	0.5094118162
26	0.5041997204
27	0.4996212476
28	0.4946628727
29	0.4904146238
30	0.4860544771
31	0.4817609743
32	0.477342475
33	0.4733097651
34	0.4690689017
35	0.4646804322
36	0.460736732
37	0.4571434613
38	0.4535075148
39	0.4497494981
40	0.4460848804
41	0.4428051465
42	0.439168991
43	0.4359748875
44	0.4324775243
45	0.4297343912
46	0.4264537167
47	0.4235081433
48	0.4206691028
49	0.4179408801
50	0.414848467
51	0.412248864
52	0.4096722189
53	0.4074747443
54	0.4047297648
55	0.4021766697
56	0.3997780438
57	0.3972168317
58	0.3951384662
59	0.3927911558
60	0.390670637
61	0.3887101265
62	0.3865311853
63	0.3845244107
64	0.3825989815
65	0.3806452294
66	0.3787754703
67	0.3767566768
68	0.3747823358
69	0.3730195625
70	0.3712481146
71	0.3693307676
72	0.3679429146
73	0.3661052408
74	0.3642395577
75	0.3627519303
76	0.360881579
77	0.3591605757
78	0.3577019678
79	0.3564432223
80	0.3548858503
81	0.3534773038
82	0.3518523473
83	0.3506142255
84	0.3491641876
85	0.3476536372
86	0.3464043325
87	0.3449256932
88	0.343701367
89	0.3425641343
90	0.3413381359
91	0.3401941447
92	0.3389873418
93	0.3378214727
94	0.3365319657
95	0.335204242
96	0.3339454268
97	0.3327355929
98	0.331657758
99	0.3305826405
100	0.3295718676
101	0.328375481
102	0.3272559458
103	0.326113592
104	0.3250526881
105	0.324124689
106	0.3232729838
107	0.3223201804
108	0.3214878448
109	0.3206285799
110	0.3197709523
111	0.3188959409
112	0.3181410141
113	0.317341356
114	0.3165618339
115	0.3158141881
116	0.31499739
117	0.314174147
118	0.3134103017
119	0.31264036
120	0.3118347795
121	0.3111715796
122	0.3104846554
123	0.3098746522
124	0.3093828872
125	0.308769017
126	0.3078612585
127	0.3072269387
128	0.3065575726
129	0.3057140194
130	0.3050702935
131	0.3044398756
132	0.3036273974
133	0.3029547217
134	0.3022823247
135	0.3017157289
136	0.3008799444
137	0.3003273184
138	0.299718221
139	0.2989537487
140	0.2985355952
141	0.2979020768
142	0.2973362126
143	0.2967409456
144	0.2963389915
145	0.2958267421
146	0.2953875816
147	0.2949710306
148	0.2944202859
149	0.2938329967
150	0.2932718007
151	0.2927312633
152	0.2922107226
153	0.2918455916
154	0.2913262528
155	0.2909128024
156	0.2903691122
157	0.2899081086
158	0.2894122154
159	0.2890593995
160	0.2883387701
161	0.2877018027
162	0.2872095848
163	0.2867667316
164	0.2864179219
165	0.2859646
166	0.2854649269
167	0.2851445098
168	0.2848088513
169	0.2843208139
170	0.2839879249
171	0.2835875907
172	0.2832144646
173	0.2827936982
174	0.2824976499
175	0.2820919159
176	0.2817171524
177	0.2812977447
178	0.2810105624
179	0.2806255741
180	0.2802149106
181	0.2798242961
182	0.2795503695
183	0.279236136
184	0.2789145343
185	0.2785059785
186	0.2780840974
187	0.2777653873
188	0.277322325
189	0.2769130724
190	0.2766215703
191	0.2763303992
192	0.2759669927
193	0.2756689411
194	0.275233874
195	0.2749572649
196	0.2744974284
197	0.27423782
198	0.2739720453
199	0.2735923523
