iter	Passed	Remaining
0	37	7532
1	45	4490
2	51	3409
3	59	2929
4	66	2586
5	72	2344
6	78	2175
7	84	2032
8	90	1918
9	96	1824
10	102	1755
11	107	1688
12	113	1637
13	119	1592
14	125	1547
15	131	1511
16	137	1476
17	142	1444
18	149	1420
19	155	1397
20	161	1375
21	167	1354
22	173	1333
23	183	1348
24	190	1334
25	197	1318
26	203	1302
27	209	1284
28	214	1265
29	220	1248
30	226	1234
31	232	1220
32	238	1206
33	244	1195
34	250	1182
35	257	1170
36	262	1157
37	268	1145
38	274	1134
39	281	1124
40	289	1122
41	295	1110
42	301	1100
43	307	1089
44	313	1079
45	319	1070
46	325	1060
47	332	1051
48	338	1041
49	344	1032
50	350	1023
51	356	1015
52	362	1005
53	368	996
54	374	988
55	381	980
56	388	973
57	394	965
58	400	957
59	407	949
60	412	940
61	418	932
62	425	924
63	430	915
64	437	908
65	443	899
66	449	891
67	455	884
68	462	877
69	468	870
70	475	863
71	481	856
72	488	849
73	495	844
74	502	837
75	508	830
76	514	822
77	520	814
78	526	806
79	533	799
80	539	792
81	545	785
82	551	777
83	558	770
84	564	763
85	570	755
86	576	748
87	582	741
88	589	734
89	595	727
90	601	720
91	606	712
92	612	704
93	617	696
94	624	689
95	629	682
96	635	675
97	641	668
98	647	661
99	654	654
100	660	647
101	666	640
102	672	633
103	679	626
104	685	620
105	691	613
106	698	607
107	705	600
108	711	594
109	717	587
110	723	580
111	730	573
112	736	567
113	742	560
114	749	553
115	755	546
116	761	540
117	767	533
118	772	526
119	779	519
120	787	514
121	793	507
122	800	501
123	809	496
124	815	489
125	821	482
126	829	476
127	837	470
128	844	464
129	851	458
130	859	452
131	866	446
132	872	439
133	878	432
134	884	426
135	892	419
136	900	414
137	906	407
138	912	400
139	919	394
140	926	387
141	934	381
142	940	374
143	947	368
144	954	362
145	961	355
146	968	349
147	975	342
148	981	335
149	987	329
150	994	322
151	1001	316
152	1009	309
153	1015	303
154	1021	296
155	1029	290
156	1036	283
157	1042	277
158	1049	270
159	1055	263
160	1061	257
161	1069	250
162	1076	244
163	1083	237
164	1088	230
165	1096	224
166	1102	217
167	1108	211
168	1116	204
169	1122	198
170	1129	191
171	1135	184
172	1142	178
173	1150	171
174	1156	165
175	1164	158
176	1170	152
177	1177	145
178	1183	138
179	1190	132
180	1196	125
181	1204	119
182	1211	112
183	1219	106
184	1225	99
185	1231	92
186	1237	86
187	1244	79
188	1250	72
189	1256	66
190	1264	59
191	1270	52
192	1276	46
193	1282	39
194	1289	33
195	1296	26
196	1304	19
197	1309	13
198	1317	6
199	1323	0
